ID,answer
TG_A_J_20230304,3413.8473022005496
TG_A_J_20230305,0.0
TG_A_J_20230306,3314.881943028665
TG_A_J_20230307,3370.879184888829
TG_A_J_20230308,3252.8911646794472
TG_A_J_20230309,3168.5462523694555
TG_A_J_20230310,3262.7820247702666
TG_A_J_20230311,3207.4556163720404
TG_A_J_20230312,0.0
TG_A_J_20230313,3143.1729856355805
TG_A_J_20230314,3260.768562233663
TG_A_J_20230315,3199.7671736620114
TG_A_J_20230316,3196.4984969890606
TG_A_J_20230317,3270.851172939003
TG_A_J_20230318,3277.6973327466817
TG_A_J_20230319,0.0
TG_A_J_20230320,3227.56931011367
TG_A_J_20230321,3458.361400595095
TG_A_J_20230322,3401.0117429567554
TG_A_J_20230323,3298.4519897096607
TG_A_J_20230324,3356.6094105113516
TG_A_J_20230325,3414.0221399471957
TG_A_J_20230326,0.0
TG_A_J_20230327,3219.2562270730236
TG_A_J_20230328,3543.4992551144096
TG_A_J_20230329,3370.5143891489215
TG_A_J_20230330,3432.694831719814
TG_A_J_20230331,3614.638644402461
TG_A_S_20230304,4116.060670145896
TG_A_S_20230305,0.0
TG_A_S_20230306,4140.980889115117
TG_A_S_20230307,4096.57307547856
TG_A_S_20230308,4083.4753686557983
TG_A_S_20230309,4048.6099091228534
TG_A_S_20230310,4149.048940668172
TG_A_S_20230311,4035.975962091432
TG_A_S_20230312,0.0
TG_A_S_20230313,4197.590064663199
TG_A_S_20230314,4143.74780349827
TG_A_S_20230315,4221.289438713498
TG_A_S_20230316,4170.474287196908
TG_A_S_20230317,4189.703233538961
TG_A_S_20230318,4212.016591122246
TG_A_S_20230319,0.0
TG_A_S_20230320,4224.30741281082
TG_A_S_20230321,4242.607396453463
TG_A_S_20230322,4312.49954329996
TG_A_S_20230323,4338.336039012327
TG_A_S_20230324,4384.716132136497
TG_A_S_20230325,4664.564070206283
TG_A_S_20230326,0.0
TG_A_S_20230327,4323.387716142117
TG_A_S_20230328,4381.933817210103
TG_A_S_20230329,4338.140371192765
TG_A_S_20230330,4393.357214345313
TG_A_S_20230331,4342.928993792241
TG_B_J_20230304,3370.277750178667
TG_B_J_20230305,0.0
TG_B_J_20230306,3805.775998394458
TG_B_J_20230307,3682.58219051402
TG_B_J_20230308,4172.020182316572
TG_B_J_20230309,3724.0489633574975
TG_B_J_20230310,3693.734959015029
TG_B_J_20230311,3431.7545721314705
TG_B_J_20230312,0.0
TG_B_J_20230313,3659.3025076964673
TG_B_J_20230314,3686.9174168097425
TG_B_J_20230315,4041.5487204940496
TG_B_J_20230316,3691.9532124216885
TG_B_J_20230317,3743.4111754869896
TG_B_J_20230318,3440.79485031594
TG_B_J_20230319,0.0
TG_B_J_20230320,3928.9173813115376
TG_B_J_20230321,3601.698590814717
TG_B_J_20230322,4057.5178662610747
TG_B_J_20230323,3824.0955663431973
TG_B_J_20230324,3746.7952989890023
TG_B_J_20230325,3541.947957144642
TG_B_J_20230326,0.0
TG_B_J_20230327,3603.67955620565
TG_B_J_20230328,3779.99539379011
TG_B_J_20230329,4094.9632152910035
TG_B_J_20230330,3818.0854718028054
TG_B_J_20230331,3984.504552563808
TG_B_S_20230304,3993.2575639975116
TG_B_S_20230305,0.0
TG_B_S_20230306,4010.547969251979
TG_B_S_20230307,4015.8869194342797
TG_B_S_20230308,3861.3911252918197
TG_B_S_20230309,3840.5736460675744
TG_B_S_20230310,3951.6522957229754
TG_B_S_20230311,3898.1146005268765
TG_B_S_20230312,0.0
TG_B_S_20230313,4041.346704797432
TG_B_S_20230314,4026.42239365756
TG_B_S_20230315,4032.561797250022
TG_B_S_20230316,3994.4561808856483
TG_B_S_20230317,4145.320179225178
TG_B_S_20230318,3979.4508363443806
TG_B_S_20230319,0.0
TG_B_S_20230320,4126.26533573594
TG_B_S_20230321,4102.762949104899
TG_B_S_20230322,4070.0326643215894
TG_B_S_20230323,4015.6714155212044
TG_B_S_20230324,4257.131501455887
TG_B_S_20230325,3956.9642569331236
TG_B_S_20230326,0.0
TG_B_S_20230327,4351.579625377364
TG_B_S_20230328,4152.893740684571
TG_B_S_20230329,4209.553936961911
TG_B_S_20230330,4364.959668900523
TG_B_S_20230331,4291.470128003545
TG_C_J_20230304,4811.53580681616
TG_C_J_20230305,0.0
TG_C_J_20230306,4669.363532626324
TG_C_J_20230307,4846.632512716694
TG_C_J_20230308,4473.18998379595
TG_C_J_20230309,4670.146120018946
TG_C_J_20230310,4847.95075849532
TG_C_J_20230311,4877.378596496606
TG_C_J_20230312,0.0
TG_C_J_20230313,4792.0575309513515
TG_C_J_20230314,4966.33699989664
TG_C_J_20230315,4615.768632113892
TG_C_J_20230316,4556.108246570401
TG_C_J_20230317,4821.375400405385
TG_C_J_20230318,4747.318006522513
TG_C_J_20230319,0.0
TG_C_J_20230320,4806.495669915105
TG_C_J_20230321,5097.8467670302625
TG_C_J_20230322,4711.75024290058
TG_C_J_20230323,4874.706310494854
TG_C_J_20230324,5027.673920608412
TG_C_J_20230325,4946.438353842154
TG_C_J_20230326,0.0
TG_C_J_20230327,4917.878246660724
TG_C_J_20230328,5174.618916187834
TG_C_J_20230329,4831.595882171506
TG_C_J_20230330,4823.046693005543
TG_C_J_20230331,4968.441680421596
TG_C_S_20230304,4474.471997381465
TG_C_S_20230305,0.0
TG_C_S_20230306,4316.308406171998
TG_C_S_20230307,4316.363232681281
TG_C_S_20230308,4347.0597021997855
TG_C_S_20230309,4339.701444695724
TG_C_S_20230310,4290.560387450737
TG_C_S_20230311,4200.328528390632
TG_C_S_20230312,0.0
TG_C_S_20230313,4201.417983898112
TG_C_S_20230314,4270.309472312167
TG_C_S_20230315,4267.44911019404
TG_C_S_20230316,4293.209395693295
TG_C_S_20230317,4368.958459481356
TG_C_S_20230318,4176.700392083518
TG_C_S_20230319,0.0
TG_C_S_20230320,4187.592178166963
TG_C_S_20230321,4284.918054371135
TG_C_S_20230322,4328.469526396276
TG_C_S_20230323,4351.373177857289
TG_C_S_20230324,4366.350304240939
TG_C_S_20230325,4445.473928518711
TG_C_S_20230326,0.0
TG_C_S_20230327,4390.319984779741
